###################################################
                                                   
                                                   
                                                   
  CCCYYYBBBGGGWWWCCCYYY      WWWCCCYYYBBBGGGWWWCC  
  CCCYYYBBBGGGWWWCCCYYY      WWWCCCYYYBBBGGGWWWCC  
  CCCYYYBBBGGGWWWCCCYYY      WWWCCCYYYBBBGGGWWWCC  
                                                   
                                                   
  CCCYYYBBBGGGWWWCCCYYY      WWWCCCYYYBBBGGGWWWCC  
  CCCYYYBBBGGGWWWCCCYYY      WWWCCCYYYBBBGGGWWWCC  
  CCCYYYBBBGGGWWWCCCYYY      WWWCCCYYYBBBGGGWWWCC  
                                                   
                                                   
  CCCYYYBBBGGGWWWCCCYYY      WWWCCCYYYBBBGGGWWWCC  
  CCCYYYBBBGGGWWWCCCYYY      WWWCCCYYYBBBGGGWWWCC  
  CCCYYYBBBGGGWWWCCCYYY      WWWCCCYYYBBBGGGWWWCC  
                                                   
                                                   
  CCCYYYBBBG                            BGGGWWWCC  
  CCCYYYBBBG                            BGGGWWWCC  
  CCCYYYBBBG # #                    # # BGGGWWWCC  
  CCCYYYBBBG  # ##                ## #  BGGGWWWCC  
                  #              #                 
                   #            #                  
#####################          ####################
                                                   
                                                   
                                                   
                                                   
                                                   
